sec	CH1	CH40	
0.0   0.137024	0	
0.001	0.122986	0	
0.002	0.107422	0	
0.003	0.0918579	0	
0.004	0.0769043	0	
0.005	0.0640869	0	
0.006	0.0543213	0	
0.007	0.0479126	0	
0.008	0.0448608	0	
0.009	0.0445557	0	
0.01	0.0463867	0	
0.011	0.0506592	0	
0.012	0.0570679	0	
0.013	0.0662231	0	
0.014	0.0772095	0	
0.015	0.0894165	0	
0.016	0.102234	0	
0.017	0.114441	0	
0.018	0.126038	0	
0.019	0.136719	0	
0.02	0.14679	0	
0.021	0.15564	0	
0.022	0.162659	0	
0.023	0.166931	0	
0.024	0.167236	0	
0.025	0.163574	0	
0.026	0.155945	0	
0.027	0.144958	0	
0.028	0.131226	0	
0.029	0.116272	0	
0.03	0.101318	0	
0.031	0.0866699	0	
0.032	0.0732422	0	
0.033	0.0610352	0	
0.034	0.0497437	0	
0.035	0.0387573	0	
0.036	0.0286865	0	
0.037	0.0192261	0	
0.038	0.0112915	0	
0.039	0.00427246	0	
0.04	-0.000610352	0	
0.041	-0.00366211	0	
0.042	-0.00518799	0	
0.043	-0.00549316	0	
0.044	-0.00488281	0	
0.045	-0.00427246	0	
0.046	-0.00396729	0	
0.047	-0.00396729	0	
0.048	-0.00457764	0	
0.049	-0.00549316	0	
0.05	-0.00671387	0	
0.051	-0.00762939	0	
0.052	-0.00854492	0	
0.053	-0.00976563	0	
0.054	-0.0115967	0	
0.055	-0.0149536	0	
0.056	-0.0195313	0	
0.057	-0.0256348	0	
0.058	-0.0320435	0	
0.059	-0.0384521	0	
0.06	-0.0445557	0	
0.061	-0.0500488	0	
0.062	-0.0549316	0	
0.063	-0.0595093	0	
0.064	-0.0640869	0	
0.065	-0.0689697	0	
0.066	-0.0744629	0	
0.067	-0.0796509	0	
0.068	-0.0845337	0	
0.069	-0.088501	0	
0.07	-0.0915527	0	
0.071	-0.0933838	0	
0.072	-0.0939941	0	
0.073	-0.0942993	0	
0.074	-0.093689	0	
0.075	-0.0927734	0	
0.076	-0.0921631	0	
0.077	-0.0912476	0	
0.078	-0.0891113	0	
0.079	-0.0860596	0	
0.08	-0.0823975	0	
0.081	-0.0790405	0	
0.082	-0.0762939	0	
0.083	-0.0750732	0	
0.084	-0.0747681	0	
0.085	-0.0753784	0	
0.086	-0.0775146	0	
0.087	-0.0814819	0	
0.088	-0.0875854	0	
0.089	-0.0946045	0	
0.09	-0.102539	0	
0.091	-0.109863	0	
0.092	-0.116577	0	
0.093	-0.122986	0	
0.094	-0.129395	0	
