sec,CH1,CH40,
0,-0.12085,0,
0.001,-0.123596,0,
0.002,-0.126343,0,
0.003,-0.129395,0,
0.004,-0.131836,0,
0.005,-0.133972,0,
0.006,-0.135498,0,
0.007,-0.136108,0,
0.008,-0.135803,0,
0.009,-0.134583,0,
0.01,-0.133057,0,
0.011,-0.131226,0,
0.012,-0.129395,0,
0.013,-0.127563,0,
0.014,-0.125122,0,
0.015,-0.122681,0,
0.016,-0.119934,0,
0.017,-0.117493,0,
0.018,-0.115051,0,
0.019,-0.112915,0,
0.02,-0.111084,0,
0.021,-0.109863,0,
0.022,-0.108643,0,
0.023,-0.107422,0,
0.024,-0.106201,0,
0.025,-0.10437,0,
0.026,-0.102844,0,
0.027,-0.101013,0,
0.028,-0.0994873,0,
0.029,-0.0982666,0,
0.03,-0.0973511,0,
0.031,-0.0967407,0,
0.032,-0.0961304,0,
0.033,-0.0961304,0,
0.034,-0.0961304,0,
0.035,-0.0961304,0,
0.036,-0.0964355,0,
0.037,-0.0970459,0,
0.038,-0.0973511,0,
0.039,-0.0976563,0,
0.04,-0.0979614,0,
0.041,-0.0979614,0,
0.042,-0.0979614,0,
0.043,-0.0979614,0,
0.044,-0.0979614,0,
0.045,-0.0979614,0,
0.046,-0.0979614,0,
0.047,-0.0979614,0,
0.048,-0.0973511,0,
0.049,-0.0967407,0,
0.05,-0.0961304,0,
0.051,-0.0952148,0,
0.052,-0.0946045,0,
0.053,-0.093689,0,
0.054,-0.0930786,0,
0.055,-0.0927734,0,
0.056,-0.0924683,0,
0.057,-0.0918579,0,
0.058,-0.0915527,0,
0.059,-0.0906372,0,
0.06,-0.0897217,0,
0.061,-0.0888062,0,
0.062,-0.0875854,0,
0.063,-0.0863647,0,
0.064,-0.085144,0,
0.065,-0.0839233,0,
0.066,-0.0823975,0,
0.067,-0.0811768,0,
0.068,-0.0799561,0,
0.069,-0.0784302,0,
0.07,-0.0772095,0,
0.071,-0.0756836,0,
0.072,-0.0741577,0,
0.073,-0.0726318,0,
0.074,-0.0708008,0,
